story_name,Adventurer,Angel,Demon,Fool,Hero,Traditionalist,is_comedy
Ctrl+Alt+Del,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0
Damages,0.0,0.0,0.0,0.0,1.0,0.0,0
Dark,0.0,0.0,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,0
Death Note,0.1,0.3,0.2,0.0,0.4,0.0,0
Degrassi: The Next Generation,0.2,0.1,0.2,0.0,0.5,0.0,0
Dexter,0.1,0.2,0.1,0.0,0.6,0.0,0
Die Hard,0.0,0.0,0.0,0.0,1.0,0.0,0
Dirty Dancing,0.0,0.5,0.0,0.0,0.5,0.0,0
Divergent,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0
Don Quixote,0.5,0.5,0.0,0.0,0.0,0.0,0
Downton Abbey,0.0,0.13333333333333333,0.13333333333333333,0.0,0.7333333333333333,0.0,0
Dr. Horrible's Sing-Along Blog,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,1
Dune,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,0
ER,0.0,0.0,0.0,0.0,1.0,0.0,0
Elementary,0.0,0.0,0.0,0.0,1.0,0.0,0
Ender's Game,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,1
Entourage,0.2,0.2,0.2,0.0,0.4,0.0,0
Eternal Sunshine of the Spotless Mind,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0
Euphoria,0.5,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0
Ex Machina,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0
Fahrenheit 451,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0
Farscape,0.16666666666666666,0.0,0.16666666666666666,0.0,0.6666666666666666,0.0,0
Fast & Furious,0.0,0.0,0.0,0.0,1.0,0.0,1
Ferris Bueller's Day Off,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,1
Fifty Shades of Grey,0.0,0.5,0.0,0.0,0.5,0.0,0
Fight Club,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0
Finding Nemo,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,1
Forrest Gump,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0
Friday Night Lights,0.1,0.1,0.1,0.0,0.7,0.0,0
Friends,0.6666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0
Frozen,0.0,0.6,0.2,0.0,0.2,0.0,0
Futurama,0.1,0.1,0.2,0.2,0.4,0.0,1
Game of Thrones,0.0,0.03333333333333333,0.23333333333333334,0.0,0.7333333333333333,0.0,0
Get Out,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,1
Ghostbusters,0.0,0.4,0.2,0.0,0.4,0.0,1
Girls,0.0,0.0,0.5,0.0,0.16666666666666666,0.0,1
Gladiator,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0
Glee,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.0,0.4666666666666667,0.0,1
Gone Girl,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0
Gone With the Wind,0.0,0.3333333333333333,0.0,0.0,0.5,0.16666666666666666,0
Good Will Hunting,0.0,0.0,0.0,0.0,1.0,0.0,0
Gossip Girl,0.0,0.2,0.3,0.0,0.4,0.1,0
Gotham,0.0,0.0,0.2,0.0,0.8,0.0,0
Grey's Anatomy,0.1,0.1,0.0,0.0,0.8,0.0,0
Hamilton,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,0
Hamlet,0.0,0.16666666666666666,0.5,0.0,0.16666666666666666,0.16666666666666666,0
Hannibal,0.0,0.0,0.0,0.0,0.8,0.0,0
House of Gucci,0.0,0.0,0.0,0.0,1.0,0.0,0
How To Get Away With Murder,0.0,0.0,0.0,0.1,0.9,0.0,0
Inception,0.0,0.0,0.0,0.0,1.0,0.0,0
Independence Day,0.0,0.0,0.0,0.0,1.0,0.0,0
It's Always Sunny in Philadelphia,0.0,0.0,0.8,0.2,0.0,0.0,1
Jane Eyre,0.0,0.0,0.0,0.0,1.0,0.0,0
Jaws,0.0,0.0,0.0,0.0,1.0,0.0,1
Jennifer's Body,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1
John Wick,0.0,0.0,0.0,0.0,1.0,0.0,1
Jurassic Park,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,0
Killing Eve,0.0,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,0
LOST,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.0,0.6,0.0,0
La La Land,0.0,0.0,0.0,0.0,1.0,0.0,1
Les Misérables,0.0,0.2,0.0,0.0,0.8,0.0,0
Lilo & Stitch,0.3333333333333333,0.16666666666666666,0.0,0.0,0.5,0.0,1
Little Women,0.16666666666666666,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,0
Locke & Key,0.0,0.0,0.0,0.0,1.0,0.0,0
Lord of the Rings,0.0,0.3,0.1,0.0,0.6,0.0,1
Lucifer,0.0,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0
Macbeth,0.0,0.0,0.5,0.0,0.5,0.0,0
Mad Men,0.06666666666666667,0.06666666666666667,0.2,0.0,0.5333333333333333,0.06666666666666667,0
Maleficent,0.0,0.0,0.0,0.0,1.0,0.0,0
Mamma Mia!,0.2,0.3,0.0,0.0,0.5,0.0,1
Marvel Cinematic Universe,0.06666666666666667,0.0,0.06666666666666667,0.0,0.8666666666666667,0.0,1
Mean Girls,0.1,0.1,0.0,0.2,0.5,0.0,1
Mindhunter,0.0,0.0,0.0,0.0,1.0,0.0,0
Money Heist,0.1,0.3,0.1,0.0,0.5,0.0,0
"Monsters, Inc.",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1
Moulin Rouge!,0.0,0.5,0.0,0.0,0.5,0.0,0
Mr. Robot,0.0,0.0,0.0,0.0,1.0,0.0,0
Mrs Dalloway,0.0,0.0,0.0,0.0,1.0,0.0,0
Mulan,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,1
Mulholland Drive,0.5,0.0,0.0,0.0,0.5,0.0,0
My Little Pony: Friendship Is Magic,0.16666666666666666,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,1
NCIS,0.0,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,0
Naruto,0.2,0.0,0.0,0.0,0.8,0.0,1
Neon Genesis Evangelion,0.0,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0
New Girl,0.0,0.4,0.0,0.2,0.4,0.0,1
Nomadland,0.0,0.0,0.0,0.0,1.0,0.0,0
Normal People,0.0,0.0,0.0,0.0,1.0,0.0,0
Ocean's 11,0.0,0.0,0.0,0.0,1.0,0.0,1
Once Upon a Time,0.0,0.0,0.1,0.0,0.9,0.0,1
One Flew Over the Cuckoo's Nest,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0
One Punch Man,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,1
Outer Banks,0.16666666666666666,0.0,0.16666666666666666,0.0,0.6666666666666666,0.0,0
Outlander,0.0,0.0,0.0,0.0,1.0,0.0,0
Ozark,0.0,0.0,0.2,0.0,0.6,0.0,0
Parasite,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0
Parks and Recreation,0.0,0.1,0.2,0.0,0.6,0.1,1
Peaky Blinders,0.0,0.0,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,0
Penny Arcade,0.0,0.0,0.5,0.0,0.5,0.0,1
Pirates of the Caribbean,0.0,0.0,0.16666666666666666,0.0,0.6666666666666666,0.0,1
Pokémon,0.0,0.4,0.0,0.0,0.6,0.0,1
Portrait of a Lady on Fire,0.0,0.0,0.0,0.0,1.0,0.0,0
Pretty Little Liars,0.2,0.0,0.0,0.0,0.8,0.0,0
Pride and Prejudice,0.0,0.3,0.3,0.0,0.3,0.1,0
Prison Break,0.0,0.1,0.3,0.0,0.5,0.0,0
Promising Young Woman,0.0,0.0,0.0,0.0,0.5,0.5,0
Psych,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.0,1
Psycho,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0
Pulp Fiction,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,0
Raiders of the Lost Ark,0.0,0.3333333333333333,0.16666666666666666,0.0,0.5,0.0,1
Ratatouille,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
Rick and Morty,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,1
Riverdale,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.0,0.6666666666666666,0.0,0
Robin Hood,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0
Rogue One,0.0,0.0,0.0,0.0,1.0,0.0,1
Romeo and Juliet,0.3333333333333333,0.0,0.16666666666666666,0.0,0.5,0.0,0
Scandal,0.0,0.0,0.0,0.0,1.0,0.0,0
Schitt's Creek,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.5,0.0,1
Se7en,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,1
Seinfeld,0.16666666666666666,0.0,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,1
Sense and Sensibility,0.2,0.2,0.2,0.0,0.4,0.0,0
Sense8,0.1,0.1,0.0,0.0,0.8,0.0,0
Sex Education,0.2,0.2,0.1,0.1,0.4,0.0,1
Shadow and Bone,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.0,0
Shameless,0.1,0.0,0.3,0.2,0.4,0.0,0
Shaun of the Dead,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1
Sherlock,0.0,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,0
Shrek,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1
Silicon Valley,0.0,0.0,0.3,0.1,0.4,0.0,0
Singin' in the Rain,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,1
Smallville,0.0,0.0,0.0,0.0,1.0,0.0,0
Snow White and the Seven Dwarfs,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0
Sons of Anarchy,0.0,0.0,0.2,0.0,0.8,0.0,0
South Park,0.2,0.0,0.2,0.2,0.4,0.0,1
Space Force,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,1
Speed,0.0,0.0,0.0,0.0,1.0,0.0,1
SpongeBob SquarePants,0.0,0.2,0.2,0.2,0.4,0.0,1
Squid Game,0.0,0.16666666666666666,0.16666666666666666,0.0,0.5,0.0,0
Star Trek: Deep Space Nine,0.0,0.0,0.13333333333333333,0.06666666666666667,0.8,0.0,0
Star Trek: The Next Generation,0.0,0.1,0.0,0.0,0.9,0.0,0
Star Trek: Voyager,0.1,0.1,0.0,0.0,0.8,0.0,0
Star Wars: A New Hope,0.0,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,0.0,1
Stargate SG-1,0.0,0.0,0.0,0.0,1.0,0.0,0
Stranger Things,0.0,0.2,0.13333333333333333,0.0,0.6666666666666666,0.0,0
Succession,0.0,0.0,0.2,0.3,0.5,0.0,0
Suits,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,1
Superbad,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,1
Supergirl,0.0,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,1
Supernatural,0.0,0.0,0.0,0.0,1.0,0.0,0
