character_name,story_name,primary_archetype,match_type,imdb_tconst,imdb_titleType,imdb_primaryTitle,imdb_startYear,imdb_genres
General Hux,Star Wars: The Last Jedi,Diva-Traditionalist-Demon,,,,,,
Anastasia Steele,Fifty Shades of Grey,Diva-Angel,exact,tt2322441,movie,Fifty Shades of Grey,2015.0,"Drama,Romance,Thriller"
Christian Grey,Fifty Shades of Grey,Demon-Hero,exact,tt2322441,movie,Fifty Shades of Grey,2015.0,"Drama,Romance,Thriller"
Tokio,Money Heist,Hero-Adventurer-Demon,exact,tt6468322,tvSeries,Money Heist,2017.0,"Action,Crime,Drama"
El Profesor,Money Heist,Geek-Hero,exact,tt6468322,tvSeries,Money Heist,2017.0,"Action,Crime,Drama"
Raquel Murillo,Money Heist,Hero,exact,tt6468322,tvSeries,Money Heist,2017.0,"Action,Crime,Drama"
Berlin,Money Heist,Hero-Demon,exact,tt6468322,tvSeries,Money Heist,2017.0,"Action,Crime,Drama"
Rio,Money Heist,Outcast-Angel-Adventurer,exact,tt6468322,tvSeries,Money Heist,2017.0,"Action,Crime,Drama"
Denver,Money Heist,Brute-Adventurer,exact,tt6468322,tvSeries,Money Heist,2017.0,"Action,Crime,Drama"
Monica Gaztambide,Money Heist,Diva-Outcast-Angel,exact,tt6468322,tvSeries,Money Heist,2017.0,"Action,Crime,Drama"
Arturo Roman,Money Heist,Outcast-Fool-Demon,exact,tt6468322,tvSeries,Money Heist,2017.0,"Action,Crime,Drama"
Helsinki,Money Heist,Lone Wolf-Adventurer-Angel,exact,tt6468322,tvSeries,Money Heist,2017.0,"Action,Crime,Drama"
Nairobi,Money Heist,Adventurer-Hero,exact,tt6468322,tvSeries,Money Heist,2017.0,"Action,Crime,Drama"
Troy Bolton,High School Musical,Hero-Brute-Adventurer,exact,tt0475293,tvMovie,High School Musical,2006.0,"Comedy,Drama,Family"
Gabriella Montez,High School Musical,Diva-Hero-Angel,exact,tt0475293,tvMovie,High School Musical,2006.0,"Comedy,Drama,Family"
Sharpay Evans,High School Musical,Hero-Diva-Demon,exact,tt0475293,tvMovie,High School Musical,2006.0,"Comedy,Drama,Family"
Ryan Evans,High School Musical,Angel-Adventurer-Diva,exact,tt0475293,tvMovie,High School Musical,2006.0,"Comedy,Drama,Family"
