story_name,fool_hero_mean,fool_hero_std,angel_demon_mean,angel_demon_std,trad_adventurer_mean,trad_adventurer_std,lone_wolf_diva_mean,lone_wolf_diva_std,outcast_soph_mean,outcast_soph_std,brute_geek_mean,brute_geek_std,cast_size,is_comedy
How To Get Away With Murder,26.58459596390754,20.124702158064835,10.889820741420912,24.40615014120991,-1.2796461828295465,14.87800242951665,9.972533777819116,13.896063456113245,-11.494583762249441,8.871207776304827,2.394600263279911,11.203183836128126,10,0
Hustlers,27.816253707308274,12.246747903706511,0.807433745769354,22.436284436522016,7.6865759372345215,28.14704742075153,7.754782007907122,5.199221340198724,4.272438968246999,14.763884376924278,2.00255002887315,2.7777342882424114,3,0
Independence Day,44.658981324347565,4.4719751870036895,-8.343845773458066,7.035656162503592,11.653188407410655,21.10757300809099,-3.1386773066839417,8.207471557546892,-1.3659576414911392,11.646707443997286,-4.946199150989934,20.073149289225352,3,0
It's Always Sunny in Philadelphia,-13.18927827691213,14.926057714710714,44.651989779946646,20.54031481992411,32.57503531284339,15.290207272711953,8.87525276282867,14.793923568754861,-20.095613900214282,15.307786532562208,-3.473024762720665,7.995887742432322,5,1
Jane Eyre,33.33615330207516,8.427363003289086,3.531338006031099,37.043580139436976,-8.25754583993907,2.371346798488877,1.9183306879437956,4.329180371861677,-15.447733726679541,4.56782302737419,5.568607213657784,5.53612379024714,2,0
Jane the Virgin,30.30917250873144,13.03097173745293,-4.120025663809138,27.998505077238487,22.91928445239787,22.885505690520098,20.520998485536683,11.171936591909011,4.715911462262639,7.566461785590274,-8.03622474944396,6.996242858422113,6,0
Jennifer's Body,9.22283061512371,18.413431891242453,-5.781180860862768,38.409254081203905,3.7485197671607664,29.23068125058823,7.006028410841091,1.9585728897874055,-12.127816233127788,24.553716862142995,3.437027723473019,8.61885639666036,3,1
Killing Eve,28.45468986570313,18.3670098427491,9.904041623579245,34.15788085956739,-2.4118812061872386,27.23519745019027,1.0458505134944287,5.36725855881288,-9.798090612019912,15.818683327500501,7.459961763777547,11.0929667421273,6,0
LOST,26.019465329879544,24.14968944759944,3.780331422655296,26.446891055471692,6.132346210514021,21.83125835787303,-0.41660420681978133,15.294237276932423,-11.627049919379136,9.99872789619034,0.0812073001553933,12.171822174879244,15,0
La La Land,26.990260181524036,0.43301756121724644,-10.832165923852035,14.386240686924562,22.158564207188782,3.0954773218494953,8.004464691328094,7.617028853932214,-7.1551482030391,2.333238154106069,4.965629768104155,2.0914960852789806,2,1
Les Misérables,29.75331895956298,14.654229001205845,-14.872515737196338,30.185259946863518,1.275165865295019,25.005516230764893,7.36562126299116,19.015551856244176,-16.292518397572948,11.959642099162739,-1.7509366217220816,9.469076186538164,5,0
Lilo & Stitch,22.329420339993934,20.339701455193264,-3.4728741176490288,18.545065400514787,19.596608206912986,33.883902162042624,-1.4569788416833491,14.978642040684434,-10.743043973628604,6.762755524343549,2.3172380013723397,10.31498305794935,6,1
Little Women,26.581128789492407,13.540876426682901,-28.698672444236,30.249275008846002,16.21631776520293,19.981220515078824,7.481428311238808,13.591375243896712,-1.815759328289774,5.596358174310123,0.4660072228588214,9.259864137976587,6,0
Locke & Key,21.7617104104345,5.557297240308103,-11.260748514277353,16.97840156714831,7.3073582537878154,11.543077380077044,4.355722943568527,7.5272281961464325,-12.797251354447598,3.970843896177248,-1.8527507644041925,10.056897845244771,3,0
Lord of the Rings,22.935963562629347,28.618683481422988,-9.203500933934304,33.09681218496943,15.60515489931494,18.78539414531099,-5.212800398772197,12.35064192206276,-12.068468583682911,18.042891104109245,-6.834543251565864,16.149020671374394,10,1
M*A*S*H,20.154208799476,18.867253616611073,-12.186850701232208,39.871609455686965,12.750951379622139,34.56008266096765,11.781669799039252,15.230942416300815,-10.399416974812878,14.127218286695435,-4.905746251173016,10.26138507687844,6,1
Macbeth,21.982365994063013,20.7902529886743,47.72492645458003,4.743404362110272,-0.24602618928430314,0.3106154521056415,13.865899241646382,0.23397434835670783,-9.61865614266705,12.429447404995578,6.939672188175526,8.19481723818721,2,0
Mad Men,20.22910197083688,21.216947325523094,10.296686020020935,20.22469385043153,0.30189717922526427,20.904310572204015,15.858284516934027,13.69638769646212,-0.8126719909552025,13.396879922405779,0.9856586806243113,10.420873961747525,15,0
Maleficent,50.86070218986023,0.0,25.43525979849509,0.0,3.2889379941109476,0.0,-10.365071374514534,0.0,-1.2897626048863673,0.0,16.02428814868064,0.0,1,0
Mamma Mia!,14.796691943400921,15.074922118970525,-12.139567044479685,15.939624935768755,34.119472514738376,22.325226393292674,5.843591157423195,10.810353697674667,2.709004306727922,10.07146780055838,-4.109256245465671,6.178408794307454,10,1
Marvel Cinematic Universe,43.9304166868497,20.17328062062069,6.154579872009412,27.397490560065386,7.699646882220906,22.605128161745778,-5.197086274093802,8.925322395759245,-0.4327251363948143,10.893386897328437,-0.9207672758656019,14.819059745938977,15,1
Mean Girls,4.674078769414776,23.00885818499158,2.01746173644691,26.481622613106097,17.61869227743746,20.116492101941862,15.68548412522633,20.20832693812704,-3.95451136262439,12.509832448906195,-3.3854791576883514,13.705157554848196,10,1
Modern Family,17.063758115174586,25.126398598175896,-3.612729492459254,20.572262632984213,18.473301685065433,33.99202915286453,17.4134209588701,12.868972526156615,-2.2566629673919762,9.683988089657058,-5.1263751062401735,12.848758199281795,10,1
Money Heist,19.917901451243345,28.049318031288646,6.398229167640497,31.98177770553814,16.931580104690916,20.182824923213733,0.5549936180962692,12.465971625834548,-7.566963309633257,11.818387812000834,0.29346709399242543,11.752145377839083,10,0
"Monsters, Inc.",14.609489024893811,3.8935722005330367,12.165037381469597,39.56172040154224,11.530465671470148,20.745317176518,7.625713445246864,12.171470474030144,-9.964258666899786,6.6792567809857575,-0.5212013330808661,14.433913301432845,3,1
Moulin Rouge!,24.809334675825884,10.63160477035309,-9.851483159717446,23.574416593005573,37.27178786918065,6.155709624855456,9.484335045835934,1.2579073967055772,-6.873529662613946,15.62149888828868,11.255606681180812,1.3515409100008062,2,0
Mr. Robot,29.89985813341748,7.497096121369675,24.90383567891128,22.446083976855043,0.4379578906387736,16.8392362843679,1.9007089797126528,20.05603886273884,-14.987730283641858,11.830346977474127,17.467338686465204,15.965875381051516,6,0
Mrs Dalloway,25.538676187691333,0.0,-15.994914965723273,0.0,0.14797895212810908,0.0,22.298911050429883,0.0,2.732498689734327,0.0,6.8387790832541215,0.0,1,0
