story_name,match_type,imdb_tconst,imdb_titleType,imdb_primaryTitle,imdb_startYear,imdb_endYear,imdb_runtimeMinutes,imdb_genres
Ex Machina,exact,tt1377464,short,Ex Machina,2006.0,,,Short
The Silence of the Lambs,exact,tt0102926,movie,The Silence of the Lambs,1991.0,,118.0,"Crime,Drama,Horror"
Beauty and the Beast,exact,tt0000225,short,Beauty and the Beast,1899.0,,,"Family,Fantasy,Romance"
The Godfather,exact,tt0364378,short,The Godfather,1911.0,,,"Drama,Short"
Raiders of the Lost Ark,exact,tt0082971,movie,Raiders of the Lost Ark,1981.0,,115.0,"Action,Adventure"
Ferris Bueller's Day Off,exact,tt0091042,movie,Ferris Bueller's Day Off,1986.0,,103.0,Comedy
Shadow and Bone,exact,tt2403776,tvSeries,Shadow and Bone,2021.0,2023.0,60.0,"Action,Adventure,Drama"
The Handmaid's Tale,exact,tt0099731,movie,The Handmaid's Tale,1990.0,,108.0,"Drama,Romance,Sci-Fi"
Crazy Rich Asians,exact,tt3104988,movie,Crazy Rich Asians,2018.0,,120.0,"Comedy,Drama,Romance"
Agents of S.H.I.E.L.D.,exact,tt2364582,tvSeries,Agents of S.H.I.E.L.D.,2013.0,2020.0,45.0,"Action,Adventure,Sci-Fi"
The Hangover,exact,tt0156591,short,The Hangover,1931.0,,9.0,Short
Locke & Key,exact,tt1193126,tvMovie,Locke & Key,2011.0,,48.0,"Adventure,Drama,Horror"
Elizabethtown,exact,tt0368709,movie,Elizabethtown,2005.0,,123.0,"Comedy,Drama,Romance"
Stranger Things,exact,tt1460534,tvSeries,Stranger Things,2008.0,2009.0,30.0,Sci-Fi
The Hunger Games,exact,tt1392170,movie,The Hunger Games,2012.0,,142.0,"Action,Adventure,Sci-Fi"
Parks and Recreation,exact,tt1266020,tvSeries,Parks and Recreation,2009.0,2015.0,22.0,Comedy
The Scarlet Letter,exact,tt0234671,short,The Scarlet Letter,1908.0,,,"Drama,Short"
Pride and Prejudice,exact,tt0414386,tvMovie,Pride and Prejudice,1938.0,,55.0,"Drama,Romance"
Broad City,exact,tt1948541,tvSeries,Broad City,2010.0,2011.0,,"Comedy,Short"
Star Trek: Deep Space Nine,exact,tt0106145,tvSeries,Star Trek: Deep Space Nine,1993.0,1999.0,45.0,"Action,Adventure,Drama"
Tangled,exact,tt0329655,short,Tangled,1912.0,,,"Comedy,Family,Short"
Steins;Gate,exact,tt1910272,tvSeries,Steins;Gate,2011.0,2015.0,24.0,"Animation,Comedy,Drama"
The Fault in Our Stars,exact,tt2582846,movie,The Fault in Our Stars,2014.0,,126.0,"Drama,Romance"
The Mentalist,exact,tt0421070,tvMovie,The Mentalist,2004.0,,,Reality-TV
Prison Break,exact,tt0030625,movie,Prison Break,1938.0,,72.0,"Crime,Drama,Thriller"
Snow White and the Seven Dwarfs,exact,tt0029583,movie,Snow White and the Seven Dwarfs,1937.0,,83.0,"Adventure,Animation,Family"
Penny Arcade,exact,tt1380177,short,Penny Arcade,1942.0,,3.0,"Music,Short"
Pulp Fiction,exact,tt0110912,movie,Pulp Fiction,1994.0,,154.0,"Crime,Drama"
Jennifer's Body,exact,tt1131734,movie,Jennifer's Body,2009.0,,102.0,"Comedy,Horror"
Hustlers,exact,tt1604115,movie,Hustlers,2010.0,,95.0,"Comedy,Drama"
Catch Me If You Can,exact,tt0310854,movie,Catch Me If You Can,1959.0,,,Drama
Pokémon,exact,tt0168366,tvSeries,Pokémon,1997.0,2023.0,24.0,"Action,Adventure,Animation"
Hamlet,exact,tt0001242,short,Hamlet,1908.0,,,"Drama,Short"
Gossip Girl,exact,tt0397442,tvSeries,Gossip Girl,2007.0,2012.0,42.0,"Drama,Romance"
ER,exact,tt0303969,tvMovie,Er,1984.0,,41.0,
The Social Network,exact,tt1285016,movie,The Social Network,2010.0,,120.0,"Biography,Drama"
Zombieland,exact,tt9352962,short,Zombieland,2004.0,,,"Horror,Short"
The Perks of Being a Wallflower,exact,tt1659337,movie,The Perks of Being a Wallflower,2012.0,,103.0,Drama
Community,exact,tt1943676,short,Community,1947.0,,,"Documentary,Short"
House of Gucci,exact,tt11214590,movie,House of Gucci,2021.0,,158.0,"Biography,Crime,Drama"
CSI: Crime Scene Investigation,exact,tt0247082,tvSeries,CSI: Crime Scene Investigation,2000.0,2015.0,60.0,"Crime,Drama,Mystery"
Girls,exact,tt1354007,short,Girls,1910.0,,,"Comedy,Short"
The Shape of Water,exact,tt0887779,movie,The Shape of Water,2006.0,,70.0,Documentary
Ender's Game,exact,tt1731141,movie,Ender's Game,2013.0,,114.0,"Action,Adventure,Sci-Fi"
Psycho,exact,tt0054215,movie,Psycho,1960.0,,109.0,"Drama,Horror,Mystery"
Silver Linings Playbook,exact,tt1045658,movie,Silver Linings Playbook,2012.0,,122.0,"Comedy,Drama,Romance"
Bob's Burgers,exact,tt1561755,tvSeries,Bob's Burgers,2011.0,,22.0,"Animation,Comedy"
Ozark,exact,tt5071412,tvSeries,Ozark,2017.0,2022.0,60.0,"Crime,Drama,Thriller"
The Man in the High Castle,exact,tt1740299,tvSeries,The Man in the High Castle,2015.0,2019.0,60.0,"Drama,Sci-Fi,Thriller"
The Last of the Mohicans,exact,tt0208257,short,The Last of the Mohicans,1911.0,,,"Drama,Short,Western"
Damages,exact,tt0497897,tvMovie,Damages,2006.0,,68.0,Drama
The Simpsons,exact,tt0096697,tvSeries,The Simpsons,1989.0,,22.0,"Animation,Comedy"
Entourage,exact,tt3488418,movie,Entourage,1977.0,,92.0,"Action,Drama,Thriller"
Booksmart,exact,tt1489887,movie,Booksmart,2019.0,,102.0,Comedy
The Boondock Saints,exact,tt0144117,movie,The Boondock Saints,1999.0,,108.0,"Action,Crime,Thriller"
Euphoria,exact,tt14625022,short,Euphoria,1974.0,,3.0,"Animation,Short"
The Da Vinci Code,exact,tt0382625,movie,The Da Vinci Code,2006.0,,149.0,"Mystery,Thriller"
Sleepless in Seattle,exact,tt0108160,movie,Sleepless in Seattle,1993.0,,105.0,"Comedy,Drama,Romance"
Shameless,exact,tt0063560,movie,Shameless,1968.0,,74.0,"Crime,Drama"
Tropic Thunder,exact,tt0942385,movie,Tropic Thunder,2008.0,,107.0,"Action,Comedy,War"
Blue Bloods,exact,tt1595859,tvSeries,Blue Bloods,2010.0,2024.0,43.0,"Crime,Drama,Mystery"
When Harry Met Sally...,exact,tt0098635,movie,When Harry Met Sally...,1989.0,,95.0,"Comedy,Drama,Romance"
Mean Girls,exact,tt0377092,movie,Mean Girls,2004.0,,97.0,Comedy
Modern Family,exact,tt1442437,tvSeries,Modern Family,2009.0,2020.0,22.0,"Comedy,Drama,Romance"
Bloodline,exact,tt0327914,movie,Bloodline,1963.0,,83.0,Drama
Mad Men,exact,tt0804503,tvSeries,Mad Men,2007.0,2015.0,45.0,Drama
Supergirl,exact,tt37748863,tvMiniSeries,Supergirl,1972.0,1972.0,20.0,Comedy
Fleabag,exact,tt5687612,tvSeries,Fleabag,2016.0,2019.0,30.0,"Comedy,Drama"
Glee,exact,tt0466220,short,Glee,2003.0,,4.0,"Comedy,Short"
